Title,belongs_to_collection,genres,original_lang,overview,popularity,production_companies,production_countries,release_date,runtime,spoken langs,tagline,vote_average,vote_count
Corpse Bride,0,"['Romance', ' Fantasy', ' Animation']",en,"Set in a 19th-century European village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.",56.452999114990234,['United States of America'],['United States of America'],12-09-2005,77.0,['English'],There's been a grave misunderstanding.,7.514999866485596,7955.0
Mystic River,0,"['Thriller', ' Crime', ' Drama', ' Mystery']",en,The lives of three men who were childhood friends are shattered when one of them suffers a family tragedy.,25.743000030517578,['United States of America'],['United States of America'],20-02-2003,138.0,['English'],"We bury our sins, we wash them clean.",7.745999813079834,5789.0
"Lock, Stock and Two Smoking Barrels",0,"['Comedy', ' Crime']",en,A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,10.524999618530273,"['United Kingdom', ' United States of America']","['United Kingdom', ' United States of America']",28-08-1998,105.0,['English'],A Disgrace to Criminals Everywhere.,8.133000373840332,5905.0
Pi,1,"['Family', ' Action', ' Adventure']",nl,"The pirates feel right at home in Sandborough, but the atmosphere cools right down when the ninjas come to live in the street. After all, pirates and ninjas are sworn enemies!  While pirate captain Hector Blunderbuss struggles to get rid of his new neighbours, son Billy and ninja daughter Yuka become friends. The pirates challenge the ninjas to the ultimate battle at the village's annual hexathlon. Who will win the match? Ninjas are faster and more agile of course, but pirates are the best cheats in all of the seven seas...",561.3489990234375,['Netherlands'],['Netherlands'],20-04-2022,89.0,['Nederlands'],,6.892000198364258,60.0
The Long Goodbye,0,"['Crime', ' Mystery', ' Thriller', ' Comedy']",en,"In 1970s Hollywood, Detective Philip Marlowe tries to help a friend who is accused of murdering his wife.",8.694000244140625,['United States of America'],['United States of America'],07-03-1973,112.0,"['English', ' Español']",Nothing says goodbye like a bullet…,7.456999778747559,492.0
The Count of Monte Cristo,0,"['Adventure', ' Drama', ' History']",en,"Edmond Dantés's life and plans to marry the beautiful Mercedes are shattered when his best friend, Fernand, deceives him. After spending 13 miserable years in prison, Dantés escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the French nobility.",27.312000274658203,['United States of America'],['United States of America'],23-01-2002,131.0,"['English', ' Español', ' Italiano']",Prepare for adventure. Count on revenge.,7.65500020980835,1539.0
Hedwig and the Angry Inch,0,"['Comedy', ' Music', ' Drama']",en,"Raised a boy in East Berlin, Hedwig undergoes a personal transformation in order to emigrate to the U.S., where she reinvents herself as an “internationally ignored” but divinely talented rock diva, inhabiting a “beautiful gender of one.”",9.54699993133545,"['Canada', ' United States of America']","['Canada', ' United States of America']",20-07-2001,95.0,"['English', ' Deutsch']",An anatomically incorrect rock odyssey,7.441999912261963,319.0
Barry Lyndon,0,"['Drama', ' Romance', ' War']",en,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",14.940999984741211,"['United Kingdom', ' United States of America']","['United Kingdom', ' United States of America']",26-11-1975,185.0,"['Deutsch', ' Français', ' English']",At long last Redmond Barry became a gentleman—and that was his tragedy.,8.01200008392334,2440.0
Men in Black,1,"['Action', ' Adventure', ' Comedy', ' Science Fiction']",en,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent Kay and new recruit Agent Jay find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.",35.1150016784668,['United States of America'],['United States of America'],02-07-1997,98.0,"['English', ' Español']",Protecting the Earth from the scum of the universe.,7.179999828338623,12470.0
Rocky Balboa,1,['Drama'],en,"His Wife is dead and his Son hates him but this old man still has fight in him!  When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder Mason Dixon retaliates by challenging Rocky to a nationally televised, 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger, and thirty years his junior.",31.895000457763672,['United States of America'],['United States of America'],20-12-2006,101.0,"['English', ' ქართული', ' Español']",It ain't over 'til it's over.,6.834000110626221,3050.0
As Good as It Gets,0,"['Drama', ' Comedy', ' Romance']",en,"Melvin Udall, a cranky, bigoted, obsessive-compulsive writer of romantic fiction, is rude to everyone he meets, including his gay neighbor, Simon. After Simon is hospitalized, Melvin finds his life turned upside down when he has to look after Simon's dog. In addition, Carol, the only waitress at the local diner who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.",18.770000457763672,['United States of America'],['United States of America'],19-12-1997,139.0,['English'],A comedy from the heart that goes for the throat. Brace yourself for Melvin.,7.39300012588501,3339.0
Talvar,0,"['Thriller', ' Drama', ' Mystery']",hi,A hardened cop deals with three conflicting perspectives involving a brutal double murder. The case is complicated as the prime suspects are the parents who supposedly killed their teenage daughter.,8.329999923706055,['India'],['India'],14-09-2015,132.0,"['English', ' हिन्दी']",,7.493000030517578,136.0
Incredibles 2,1,"['Action', ' Adventure', ' Animation', ' Family']",en,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",54.65700149536133,['United States of America'],['United States of America'],14-06-2018,118.0,['English'],Back to work.,7.486000061035156,11753.0
Sanju,1,"['Drama', ' Action', ' Comedy']",ja,"Toshiro Mifune swaggers and snarls to brilliant comic effect in Kurosawa's tightly paced, beautifully composed ""Sanjuro."" In this companion piece and sequel to ""Yojimbo,"" jaded samurai Sanjuro helps an idealistic group of young warriors weed out their clan's evil influences, and in the process turns their image of a proper samurai on its ear.",13.85200023651123,['Japan'],['Japan'],01-01-1962,96.0,['日本語'],Akira Kurosawa's Powerful and Newest Japanese Masterpiece,7.9720001220703125,498.0
Thor: Ragnarok,1,"['Action', ' Adventure', ' Fantasy', ' Science Fiction', ' Comedy']",en,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",66.28800201416016,['United States of America'],['United States of America'],24-10-2017,131.0,['English'],No Hammer. No Problem.,7.598999977111816,19052.0
Freedom Writers,0,"['Crime', ' Drama']",en,"A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",21.10700035095215,"['Germany', ' United States of America']","['Germany', ' United States of America']",05-01-2007,123.0,"['Español', ' English']",Their story. Their world. Their future.,7.922999858856201,1953.0
Modern Times,0,"['Comedy', ' Drama']",en,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,18.724000930786133,['United States of America'],['United States of America'],05-02-1936,87.0,['English'],"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!",8.305000305175781,3264.0
To Have and Have Not,0,"['Adventure', ' Romance', ' War', ' Drama']",en,A Martinique charter boat skipper gets mixed up with the underground French resistance operatives during WWII.,9.248000144958496,['United States of America'],['United States of America'],20-01-1945,100.0,"['English', ' Français']",TALK ABOUT T.N.T! THIS is IT!,7.5,434.0
