Title,belongs_to_collection,genres,original_lang,overview,popularity,production_companies,production_countries,release_date,runtime,spoken langs,tagline,vote_average,vote_count
13 Hours,0,"['Horror', ' Thriller', ' Mystery']",en,"As five underworld heavies settle in for an all night stay at an abandoned warehouse and former film studio, a series of bizarre and unsettling occurrences quickly lead them to believe they are not alone. It was supposed to be a simple night of babysitting a single hostage, but when a series of numbers began to appear on the walls things soon took a dark turn. Later, after the hostage escapes, the perplexed thugs not only learn that there is a rat in the ranks, but also discover the unsettling nature of the films that were shot in the warehouse. Now, as terror takes hold, the thieves are about to discover that they are being stalked from the shadows and that their odds of living to see daybreak are shrinking with each passing minute.Written by Jason Buchanan, All Movie Guide",0.0,['United States of America'],['United States of America'],28-10-2008,92.0,['English'],Their lives were snuffed out. . . now they're back for vengeance!,6.434999942779541,23.0
X-Men,1,"['Action', ' Adventure', ' Science Fiction', ' Fantasy']",en,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",38.641998291015625,['United States of America'],['United States of America'],18-05-2016,144.0,"['العربية', ' English', ' Deutsch', ' Polski', ' Pусский', ' Kiswahili']",Only the strong will survive.,6.513999938964844,11952.0
Minnal Murali,0,"['Action', ' Comedy', ' Fantasy']",ml,A tailor gains special powers after being struck by lightning but must take down an unexpected foe if he is to become the superhero his hometown in Kerala needs.,14.677000045776367,['India'],['India'],16-12-2021,158.0,"['English', ' ']",,7.173999786376953,278.0
KÃ´kaku KidÃ´tai,0,"['Action', ' Adventure', ' Animation', ' Crime', ' Science Fiction', ' Thriller']",ja,"An original story in the Ghost In The Shell franchise; an effort to the sensation of being in another world, meshing future technologies with art.  A World of Purity: Holy Ground. ""To end the war and protect my wife, I must delete you all…""  Japan, 2025. Technology has been advancing more and more rapidly.  ""Brain cyberization"" that makes possible direct connections to information networks via the brain, the technology of ""prosthetic bodies"" that allows humans to change their body parts into cybernetical ones; in this world where such scientific advances have become common, a bombing attack threat is sent to the Japanese government.  The target is an international meeting involving dignitaries from the Republic of Kuzan. The case is entrusted to the Ministry of Home Affairs' Public Security Section 9.  Section 9's leader, the full-cyborg Motoko Kusanagi, assembles her team and heads off to trap and eliminate the terrorist.",0.9829999804496765,['Japan'],['Japan'],02-02-2016,10.0,['日本語'],Experience a new sensation. The sensation of becoming someone else.,7.2220001220703125,9.0
District 9,0,['Science Fiction'],en,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.",35.04199981689453,"['New Zealand', ' South Africa', ' United States of America']","['New Zealand', ' South Africa', ' United States of America']",05-08-2009,112.0,"['Afrikaans', ' ', ' ', ' ', ' isiZulu', ' English']",You are not welcome here.,7.414000034332275,8481.0
"Aguirre, der Zorn Gottes",0,"['Adventure', ' Drama', ' History']",de,"A few decades after the destruction of the Inca Empire, a Spanish expedition led by the infamous Aguirre leaves the mountains of Peru and goes down the Amazon River in search of the lost city of El Dorado. When great difficulties arise, Aguirre’s men start to wonder whether their quest will lead them to prosperity or certain death.",15.288999557495117,"['Germany', ' Mexico', ' Peru']","['Germany', ' Mexico', ' Peru']",29-12-1972,95.0,"['Español', ' ', ' Deutsch']",A breathtaking journey into the heart of darkness.,7.525000095367432,924.0
The Martian,0,"['Drama', ' Adventure', ' Science Fiction']",en,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",44.87099838256836,"['United Kingdom', ' United States of America']","['United Kingdom', ' United States of America']",30-09-2015,141.0,"['English', ' 普通话']",Bring Him Home,7.671999931335449,18104.0
The Gentlemen,0,"['Comedy', ' Crime', ' Action']",en,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",32.29800033569336,"['United States of America', ' United Kingdom']","['United States of America', ' United Kingdom']",01-01-2020,113.0,['English'],Criminal. Class.,7.684000015258789,4846.0
Batman: Mask of the Phantasm,1,"['Action', ' Animation', ' Crime', ' Mystery']",en,"When a powerful criminal, who is connected to Bruce Wayne's ex-girlfriend, blames the Dark Knight for killing a crime lord, Batman decides to fight against him.",15.166000366210938,['United States of America'],['United States of America'],25-12-1993,76.0,['English'],The Dark Knight fights to save Gotham city from its deadliest enemy.,7.5,919.0
The Princess Bride,0,"['Adventure', ' Family', ' Fantasy', ' Comedy', ' Romance']",en,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",21.804000854492188,['United States of America'],['United States of America'],25-09-1987,99.0,['English'],It's as real as the feelings you feel.,7.660999774932861,4031.0
The Wolf of Wall Street,0,"['Crime', ' Drama', ' Comedy']",en,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",155.11599731445312,['United States of America'],['United States of America'],25-12-2013,180.0,"['English', ' Français']",EARN. SPEND. PARTY.,8.03600025177002,21531.0
In the Heat of the Night,1,"['Crime', ' Drama', ' Mystery', ' Thriller']",en,"African-American Philadelphia police detective Virgil Tibbs is arrested on suspicion of murder by Bill Gillespie, the racist police chief of tiny Sparta, Mississippi. After Tibbs proves not only his own innocence but that of another man, he joins forces with Gillespie to track down the real killer. Their investigation takes them through every social level of the town, with Tibbs making enemies as well as unlikely friends as he hunts for the truth.",15.51200008392334,['United States of America'],['United States of America'],02-08-1967,109.0,['English'],They got a murder on their hands. They don’t know what to do with it.,7.685999870300293,870.0
Full Metal Jacket,0,"['Drama', ' War']",en,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,28.517000198364258,"['United Kingdom', ' United States of America']","['United Kingdom', ' United States of America']",26-06-1987,117.0,"['English', ' Tiếng Việt']","Vietnam can kill me, but it can’t make me care.",8.140000343322754,9369.0
Invasion of the Body Snatchers,0,"['Horror', ' Science Fiction']",en,"Matthew Bennell notices that several of his friends are complaining that their close relatives are in some way different. When questioned later they themselves seem changed, as they deny everything or make lame excuses. As the invaders increase in number they become more open and Bennell, who has by now witnessed an attempted 'replacement', realises that he and his friends must escape or suffer the same fate.",15.434000015258789,['United States of America'],['United States of America'],19-12-1978,116.0,"['English', ' Français']",Watch out! They get you while you're sleeping!,7.199999809265137,879.0
The Asphalt Jungle,0,"['Crime', ' Drama']",en,"Recently paroled from prison, legendary burglar ""Doc"" Riedenschneider, with funding from Alonzo Emmerich, a crooked lawyer, gathers a small group of veteran criminals together in the Midwest for a big jewel heist.",11.204999923706055,['United States of America'],['United States of America'],12-05-1950,112.0,['English'],The City Under the City,7.545000076293945,397.0
Drishyam 2,1,"['Crime', ' Thriller', ' Drama', ' Mystery']",hi,"7 years after the case related to Vijay Salgaonkar and his family was closed, a series of unexpected events bring truth to light that threatens to change everything for the Salgaonkars. Can Vijay save his family this time?",8.199999809265137,['India'],['India'],18-11-2022,142.0,['हिन्दी'],,8.013999938964844,36.0
Schindler's List,0,"['Drama', ' History', ' War']",en,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,49.20800018310547,['United States of America'],['United States of America'],15-12-1993,195.0,"['Deutsch', ' Polski', ' עִבְרִית', ' English']","Whoever saves one life, saves the world entire.",8.569000244140625,14036.0
ByÃ´soku 5 senchimÃªtoru,0,"['Animation', ' Drama', ' Family', ' Romance']",ja,"Three moments in Takaki's life: his relationship with Akari and their forced separation; his friendship with Kanae, who is secretly in love with him; the demands and disappointments of adulthood, an unhappy life in a cold city.",29.101999282836914,['Japan'],['Japan'],03-03-2007,63.0,['日本語'],At what speed must I live to see you again?,7.300000190734863,1688.0
Kill Bill: Vol. 2,1,"['Action', ' Crime', ' Thriller']",en,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",23.118000030517578,['United States of America'],['United States of America'],16-04-2004,136.0,"['English', ' 普通话', ' Español', ' 广州话 / 廣州話']",The bride is back for the final cut.,7.876999855041504,12586.0
Baazigar,0,"['Crime', ' Thriller']",hi,A young man with a vendetta against a business tycoon seduces and kills his eldest daughter and then proceeds to his younger daughter but she begins to suspect her new lover's ulterior motive.,6.935999870300293,['India'],['India'],12-11-1993,181.0,['हिन्दी'],,6.900000095367432,92.0
